WAREHOUSE_NAME,TOTAL_COMPUTE_CREDITS,TOTAL_CLOUD_CREDITS,TOTAL_CREDITS,IDLE_CREDITS
COMPUTE_WH,5.380000002,0.015860832,5.395860834,4.900677113
SHAN_WH,0.230250000,2.813668338,3.043918338,0.217822993
ADMIN_WH,0.633333335,0.014168051,0.647501386,0.602735821
SNOWFLAKE_LEARNING_WH,0.095277778,0.000000000,0.095277778,0.095277778
